method,Saltelli,num variables,3,num samples,500,
rotor_core_stiffness,bearing_stiffness,foundation_stiffness,P5,P6,P7,P8
279101562.5,401171875,862304687.5,52.71599467,66.96233589,83.03308958,104.9796034
150195312.5,574609375,862304687.5,52.71628597,67.83563232,86.17856149,105.071163
150195312.5,401171875,688476562.5,52.17018531,62.72969543,80.81666728,98.23403623
279101562.5,574609375,688476562.5,52.17065094,63.37620437,83.58127628,98.30499026
250195312.5,601171875,1362304688,53.46261787,76.11115275,90.40716616,117.735099
179101562.5,601171875,1362304688,53.46259633,76.10129768,90.37976634,117.7038326
250195312.5,774609375,1362304688,53.46271753,76.85728339,92.50130386,119.5664341
250195312.5,601171875,1188476563,53.27954811,73.84524319,89.44942128,115.146202
179101562.5,774609375,1188476563,53.27964056,74.47061473,91.40185836,115.2071411
200195312.5,501171875,612304687.5,51.82069841,60.80444239,81.11246571,94.90553796
229101562.5,501171875,612304687.5,51.8207074,60.80580791,81.11905695,94.90558819
200195312.5,674609375,612304687.5,51.82103685,61.15966994,82.81757427,94.94660444
200195312.5,501171875,1438476563,53.527958,76.2334117,88.91704737,116.4997557
229101562.5,674609375,1438476563,53.52809753,77.35033013,91.76604463,119.3241342
100195312.5,701171875,1112304688,53.17994579,73.04437291,90.08985753,113.0795489
129101562.5,701171875,1112304688,53.17993092,73.04705887,90.09948613,113.0793506
100195312.5,474609375,1112304688,53.1797222,71.95259385,86.69383366,112.9710798
100195312.5,701171875,938476562.5,52.8862303,69.84489303,88.4684651,107.7303254
129101562.5,474609375,938476562.5,52.88594666,68.97393008,85.36324953,107.6414845
100292968.8,550585937.5,947753906.3,52.90472492,69.53442079,86.75369901,107.9864988
197363281.3,550585937.5,947753906.3,52.90471414,69.54242382,86.78334942,107.9863534
100292968.8,622851562.5,947753906.3,52.90480724,69.8070977,87.72779891,108.0141056
100292968.8,550585937.5,1344238281,53.4458905,75.56994476,89.43868515,116.6784706
197363281.3,622851562.5,1344238281,53.44593607,76.00561412,90.61679068,117.9153366
200292968.8,750585937.5,1447753906,53.53559813,77.76829107,92.6655934,120.2831185
297363281.3,750585937.5,1447753906,53.53563547,77.78256328,92.70615443,120.3301086
200292968.8,422851562.5,1447753906,53.53533675,75.50063438,87.02646362,114.8118244
200292968.8,750585937.5,844238281.3,52.67124997,67.87152296,87.74727392,104.4679454
297363281.3,422851562.5,844238281.3,52.67082687,66.72783747,83.37491408,104.3479925
250292968.8,450585937.5,697753906.3,52.20717053,63.23489388,81.97645934,98.65234199
147363281.3,450585937.5,697753906.3,52.2071463,63.22895245,81.95077331,98.65218539
250292968.8,522851562.5,697753906.3,52.20734262,63.49959537,83.1056361,98.68151636
250292968.8,450585937.5,594238281.3,51.72274883,60.04808359,79.9925437,94.04447184
147363281.3,522851562.5,594238281.3,51.72293514,60.25183822,80.95573945,94.06854868
150292968.8,650585937.5,1197753906,53.29077327,74.18643746,90.13554719,115.4146101
247363281.3,650585937.5,1197753906,53.29079617,74.19773574,90.17143801,115.4148072
150292968.8,722851562.5,1197753906,53.29081996,74.45012454,90.95603795,115.4399932
150292968.8,650585937.5,1094238281,53.15405343,72.57948056,89.39700607,112.5434168
247363281.3,722851562.5,1094238281,53.15412769,72.82462536,90.21792942,112.5665908
175292968.8,400585937.5,1322753906,53.4252183,73.94742866,85.90282367,113.1346675
222363281.3,400585937.5,1322753906,53.42523025,73.95395767,85.91857901,113.1505852
175292968.8,772851562.5,1322753906,53.42554998,76.34240982,92.23659793,118.6244893
175292968.8,400585937.5,1469238281,53.55222076,75.39596058,86.42635545,114.4078947
222363281.3,772851562.5,1469238281,53.55253297,78.09098999,92.99927077,120.67361
275292968.8,600585937.5,822753906.3,52.61449738,67.01084264,86.03238542,103.6428193
122363281.3,600585937.5,822753906.3,52.6144672,67.00014139,85.98768815,103.6426239
275292968.8,572851562.5,822753906.3,52.61446034,66.92522581,85.69087743,103.6338159
275292968.8,600585937.5,969238281.3,52.94649411,70.16792213,87.72077192,108.7063744
122363281.3,572851562.5,969238281.3,52.94643337,70.0469755,87.29346518,108.6953421
225292968.8,500585937.5,1072753906,53.12195949,71.52085887,86.9897505,111.8463104
272363281.3,500585937.5,1072753906,53.12197801,71.52587613,87.00556418,111.8464893
225292968.8,472851562.5,1072753906,53.12191946,71.33743312,86.43207892,111.8279577
225292968.8,500585937.5,719238281.3,52.28846299,64.02701502,83.14496823,99.56723587
272363281.3,472851562.5,719238281.3,52.28841812,63.92426474,82.71569921,99.55582088
125292968.8,700585937.5,572753906.3,51.59790588,59.80377783,81.93308458,93.07840706
172363281.3,700585937.5,572753906.3,51.59790381,59.80557266,81.9428662,93.07840415
125292968.8,672851562.5,572753906.3,51.59786365,59.76771606,81.74990067,93.07411536
125292968.8,700585937.5,1219238281,53.31606921,74.68447516,90.85212028,115.9995059
172363281.3,672851562.5,1219238281,53.31604913,74.58664627,90.55258016,115.9895129
137792968.8,475585937.5,1010253906,53.0205519,70.30203944,85.99773787,109.9426406
109863281.3,475585937.5,1010253906,53.02056147,70.29955888,85.9894099,109.9427512
137792968.8,447851562.5,1010253906,53.02050441,70.11177139,85.40228026,109.9234412
137792968.8,475585937.5,1031738281,53.05689543,70.67183309,86.16376368,110.6030015
109863281.3,447851562.5,1031738281,53.05685861,70.47370628,85.55425292,110.5834096
237792968.8,675585937.5,510253906.3,51.16480846,57.37461684,79.87216366,89.93788947
209863281.3,675585937.5,510253906.3,51.16479919,57.37364912,79.86685507,89.93784723
237792968.8,647851562.5,510253906.3,51.16475574,57.34184854,79.69825696,89.93382134
237792968.8,675585937.5,531738281.3,51.32663264,58.23118529,80.57447354,91.04178099
209863281.3,647851562.5,531738281.3,51.32657333,58.19527857,80.38671979,91.03747439
287792968.8,575585937.5,1260253906,53.3616806,74.7069689,89.50058801,116.5587364
159863281.3,575585937.5,1260253906,53.36164067,74.6907212,89.45322934,116.5022956
287792968.8,747851562.5,1260253906,53.36179616,75.44171458,91.66771953,117.0709003
287792968.8,575585937.5,781738281.3,52.49677622,65.92696641,85.15371679,102.0839765
159863281.3,747851562.5,781738281.3,52.49693135,66.30811288,86.76571096,102.1253563
187792968.8,775585937.5,760253906.3,52.42969225,65.78470681,86.60761159,101.2905172
259863281.3,775585937.5,760253906.3,52.42971615,65.78916492,86.62819609,101.2906681
187792968.8,547851562.5,760253906.3,52.42942183,65.28248633,84.44918368,101.2363696
187792968.8,775585937.5,1281738281,53.3844474,75.81023385,92.02673366,117.6187529
259863281.3,547851562.5,1281738281,53.384319,74.81361707,89.14118786,116.2114671
162792968.8,525585937.5,635253906.3,51.93603324,61.61400141,81.9124917,95.96038497
284863281.3,525585937.5,635253906.3,51.93607165,61.62005756,81.94138393,95.96060442
162792968.8,597851562.5,635253906.3,51.93617812,61.78293962,82.70285726,95.97964834
162792968.8,525585937.5,1156738281,53.23963377,72.96270428,87.99749155,114.2457358
