# Design Points of Design of Experiments
# Custom
# ,P1 - Young's Modulus Y direction (Pa) ,P3 - foundation stiffnez,P10 - bearings,P4 - Total Deformation Reported Frequency (Hz) ,P5 - Total Deformation 2 Reported Frequency (Hz) ,P6 - Total Deformation 3 Reported Frequency (Hz) ,P7 - Total Deformation 4 Reported Frequency (Hz) ,P8 - Total Deformation 5 Reported Frequency (Hz) ,P9 - Total Deformation 6 Reported Frequency (Hz) 
Name,P1,P3,P10,P4,P5,P6,P7,P8,P9
24,168945312.5,1282226562.5,588671875,0,53.384833935108709,75.049387792937367,89.7806713600691,116.89780594493362,117.55900687886424
25,160351562.5,1282226562.5,462109375,0,53.3847008787205,74.150684223056729,87.366017809075046,114.37023615286819,117.47139586093695
26,268945312.5,1143554687.5,788671875,0,53.222628775476913,73.817867234555123,91.226042647012818,113.98401251129327,118.65959650784755
27,260351562.5,1143554687.5,788671875,0,53.222625142729733,73.816921265421243,91.22276968842371,113.98397757843878,118.65501076200127
28,268945312.5,1143554687.5,662109375,0,53.222551578763493,73.428092494284471,89.948432972528352,113.9462730073527,117.05218120657597
29,268945312.5,782226562.5,788671875,0,52.49847816820823,66.393842585139069,87.0937577681224,102.15150391413044,116.00107301752389
30,260351562.5,782226562.5,662109375,0,52.49835644654015,66.160314325487718,86.085041747238947,102.12653487434703,114.23409924459162
31,218945312.5,893554687.5,488671875,0,52.789671143159829,68.155180229451886,85.2170632237931,106.13029449244141,111.67216867845241
32,110351562.5,893554687.5,488671875,0,52.789668432713171,68.146600290607765,85.18530151772211,106.13030167757286,111.62467690072471
33,218945312.5,893554687.5,762109375,0,52.789977650095388,69.028498101184269,88.503178361899586,106.22009347548483,116.49716288775761
34,218945312.5,532226562.5,488671875,0,51.329686605888838,57.931533222055812,78.95260467400891,91.027857134159177,108.34089308369343
35,110351562.5,532226562.5,762109375,0,51.33026272868554,58.337638843196352,81.047741042679661,91.0777323845949,113.53268938249879
36,118945312.5,1393554687.5,688671875,0,53.490422804163508,76.889760622981271,91.686388997109177,119.1448187461431,120.26204619974901
37,210351562.5,1393554687.5,688671875,0,53.490426301714983,76.902149262829937,91.722102739544624,119.18664646359895,120.26198527796451
38,118945312.5,1393554687.5,562109375,0,53.4903371197761,76.210331480392256,89.868744001075058,117.26345708477213,120.19739941071134
39,118945312.5,1032226562.5,688671875,0,53.0579388135659,71.626687897008608,89.290093343458125,110.71234047396965,116.52127190167424
40,210351562.5,1032226562.5,562109375,0,53.057826622575114,71.165135772993963,87.722399740448537,110.66567386650416,114.4694652769534
41,112695312.5,549804687.5,476171875,0,51.451250767908547,58.554379037398974,79.2539308587588,91.904956030301747,108.10966169553068
42,191601562.5,549804687.5,476171875,0,51.45124730840346,58.557352961272784,79.269486391700056,91.904961867477624,108.14658301862434
43,112695312.5,549804687.5,649609375,0,51.4516750910583,58.88681130718259,80.928081424097087,91.944834125801023,111.9777304037778
44,112695312.5,750976562.5,476171875,0,52.398913652296933,64.7726336789125,83.212693005766951,100.84054346159893,110.00713381975659
45,191601562.5,750976562.5,649609375,0,52.399197462072166,65.305374669960329,85.44150690463384,100.89751161004222,113.73691723733154
46,212695312.5,1049804687.5,676171875,0,53.08643817781148,71.911808490640141,89.344545442532578,111.24118812486847,116.52265391585479
47,291601562.5,1049804687.5,676171875,0,53.086469412506844,71.919677425092132,89.372471378712774,111.24146608223347,116.56290249132701
48,212695312.5,1049804687.5,449609375,0,53.086177846407715,70.79530849157959,85.755868139783587,111.13003143739117,112.05517124118168
49,212695312.5,1250976562.5,676171875,0,53.35167706392366,75.048152111423832,90.803586114117749,116.81023813175295,118.01387222976261
50,291601562.5,1250976562.5,449609375,0,53.351491174296591,73.67007597680211,86.962067077049937,113.85129943535591,116.67651367470198
51,262695312.5,799804687.5,576171875,0,52.550250264045346,66.378822450342483,85.414643380858863,102.77504193741697,112.83879510022656
52,141601562.5,799804687.5,576171875,0,52.550221366186577,66.370583961425822,85.379998404068743,102.77484976441673,112.77855797937616
53,262695312.5,799804687.5,549609375,0,52.550210405616717,66.292701266501552,85.067782633284921,102.76591462054229,112.28733689493087
54,262695312.5,1000976562.5,576171875,0,53.004497367349124,70.670294803574549,87.678988254626589,109.70597578532545,114.5088446071365
55,141601562.5,1000976562.5,549609375,0,53.004437733643087,70.54156077076145,87.241862454775742,109.69399792790379,113.93265088523418
56,162695312.5,1299804687.5,776171875,0,53.402891301215824,76.0510605011838,92.130382228722155,118.06616340662768,119.55072343785629
57,241601562.5,1299804687.5,776171875,0,53.40291156284384,76.061069579140366,92.1617674955611,118.0663495794566,119.59051810622584
58,162695312.5,1299804687.5,749609375,0,53.402878524877124,75.965621872332477,91.873381563181752,118.05804014365212,119.25468950011073
59,162695312.5,500976562.5,776171875,0,51.090222255725685,57.087062024098138,80.053594900126484,89.464520938486942,113.46806960228631
60,241601562.5,500976562.5,749609375,0,51.090203430247335,57.067022271540644,79.946168161050949,89.461773404805754,113.15912124757025
61,187695312.5,1174804687.5,526171875,0,53.262586733059493,73.230623773358,88.1283552074216,114.73653660195274,114.9074176697967
62,216601562.5,1174804687.5,526171875,0,53.262594554020431,73.234009032702431,88.138479256370715,114.73675541159312,114.9196694901766
